acc,superkingdom,phylum
AGZ03651.1,NA,NA
AAD55799.1,NA,NA
AEF33078.1,NA,NA
AEF33078.1,NA,NA
AAA25234.1,NA,NA
CAE53353.1,NA,NA
CAB13715.1,NA,NA
CAB13715.1,NA,NA
AAY89051.1,NA,NA
CAD92852.1,NA,NA
CAD92852.1,NA,NA
CAD92852.1,NA,NA
CAD92852.1,NA,NA
BAH43766.1,NA,NA
BAH43766.1,NA,NA
BAH43766.1,NA,NA
BAH43766.1,NA,NA
BAH43766.1,NA,NA
BAH43766.1,NA,NA
CAA71336.1,NA,NA
AAX16296.1,NA,NA
AAX16296.1,NA,NA
AAC06347.1,NA,NA
AAC06347.1,NA,NA
AAC06348.1,NA,NA
AAC06348.1,NA,NA
AAC06348.1,NA,NA
AAC06348.1,NA,NA
AAC06348.1,NA,NA
CAA49818.1,NA,NA
AAN00653.1,NA,NA
AAC82550.1,NA,NA
AAC82550.1,NA,NA
AAC82550.1,NA,NA
BAA02522.1,NA,NA
BAA02522.1,NA,NA
BAA02522.1,NA,NA
AAB00093.1,NA,NA
CAA06323.1,NA,NA
CAA06323.1,NA,NA
CAA06323.1,NA,NA
AAD04757.1,NA,NA
BAB69699.1,NA,NA
BAB69699.1,NA,NA
BAB69699.1,NA,NA
BAB69699.1,NA,NA
BAA06146.1,NA,NA
BAA06146.1,NA,NA
BAA06146.1,NA,NA
BAA06146.1,NA,NA
CAA43838.1,NA,NA
CAA43838.1,NA,NA
CAA43838.1,NA,NA
CAA43838.1,NA,NA
ADG27359.1,NA,NA
ADG27359.1,NA,NA
ADG27359.1,NA,NA
CAE11249.1,NA,NA
CAE11249.1,NA,NA
CAE11249.1,NA,NA
CAE11249.1,NA,NA
AAN07013.1,NA,NA
AAN07013.1,NA,NA
AAN07013.1,NA,NA
AAN07013.1,NA,NA
CAD91221.1,NA,NA
AAC05774.1,NA,NA
AAZ23077.1,NA,NA
AAZ23077.1,NA,NA
AAZ23077.1,NA,NA
AAZ23077.1,NA,NA
CAC48361.1,NA,NA
CAC48361.1,NA,NA
CAC48361.1,NA,NA
CAC48362.1,NA,NA
CAE02630.1,NA,NA
CAE02630.1,NA,NA
CAE02630.1,NA,NA
AF047828.1,NA,NA
AF047828.1,NA,NA
AF047828.1,NA,NA
AF047828.1,NA,NA
AF047828.1,NA,NA
AF047828.1,NA,NA
AF047828.1,NA,NA
AF047828.1,NA,NA
AAF08795.1,NA,NA
CAA84363.1,NA,NA
CAA84363.1,NA,NA
CAA84363.1,NA,NA
BAB69698.1,NA,NA
AAB80955.2,NA,NA
AAB80955.2,NA,NA
AAB80955.2,NA,NA
BAC67535.1,NA,NA
BAC67535.1,NA,NA
BAC67535.1,NA,NA
BAC67535.1,NA,NA
AAX16327.1,NA,NA
AAX16327.1,NA,NA
AAX16327.1,NA,NA
AAF08797.1,NA,NA
AAF08797.1,NA,NA
EAL92291.2,NA,NA
EAL92291.2,NA,NA
BAB69700.1,NA,NA
BAB69700.1,NA,NA
CAD55498.1,NA,NA
CAD55498.1,NA,NA
CAD29798.1,NA,NA
CAD29798.1,NA,NA
AAF15891.2,NA,NA
AAF15891.2,NA,NA
AAF15891.2,NA,NA
